player_id,country,currency,value_segment,age_group,gender,region,latent_propensity
P000000,KE,KSh,HighRoller,35-44,M,Nairobi,0.04356241419498831
P000001,KE,KSh,HighRoller,45-54,M,Kisumu,0.36079632995560634
P000002,KE,KSh,Casual,25-34,M,Nairobi,0.17863305813528152
P000003,KE,KSh,Core,45-54,M,Kisumu,0.36704178815246213
P000004,KE,KSh,HighRoller,18-24,M,Mombasa,0.09070104649013887
P000005,KE,KSh,Core,35-44,M,Mombasa,0.02116368914531147
P000006,KE,KSh,Casual,25-34,F,Nairobi,0.17397864067722477
P000007,KE,KSh,Casual,25-34,M,Nakuru,0.4028055697485846
P000008,KE,KSh,HighRoller,18-24,M,Nairobi,0.5228919101264449
P000009,KE,KSh,Core,25-34,M,Nakuru,0.19276078008145175
P000010,KE,KSh,Core,25-34,M,Mombasa,0.4341623875824963
P000011,KE,KSh,Core,25-34,F,Kisumu,0.37812394380850384
P000012,KE,KSh,Casual,35-44,M,Kisumu,0.5961192131251455
P000013,KE,KSh,Casual,18-24,M,Nakuru,0.4305523542956557
P000014,KE,KSh,Core,25-34,M,Nairobi,0.026156283004825674
P000015,KE,KSh,Core,18-24,F,Mombasa,0.11309284599415281
P000016,KE,KSh,HighRoller,45-54,M,Nairobi,0.20896519735252223
P000017,KE,KSh,Casual,25-34,M,Kisumu,0.08235342436915115
P000018,KE,KSh,Core,25-34,F,Nakuru,0.43762102316611723
P000019,KE,KSh,Casual,18-24,M,Mombasa,0.21241729536417991
P000020,KE,KSh,Casual,35-44,F,Nairobi,0.2981888990434888
P000021,KE,KSh,Core,35-44,M,Nakuru,0.11000312652501927
P000022,KE,KSh,Core,35-44,F,Nairobi,0.20839199158491792
P000023,KE,KSh,Core,25-34,M,Nakuru,0.1500485016408841
P000024,KE,KSh,Core,18-24,M,Nairobi,0.19951477956441738
P000025,KE,KSh,Core,25-34,F,Mombasa,0.27547181423797873
P000026,KE,KSh,Casual,45-54,M,Mombasa,0.43859312848529675
P000027,KE,KSh,Casual,45-54,M,Kisumu,0.5354715165789221
P000028,KE,KSh,Casual,25-34,M,Nairobi,0.6088567843651549
P000029,KE,KSh,Core,25-34,M,Mombasa,0.295729256802982
P000030,KE,KSh,Casual,35-44,M,Mombasa,0.19404479260801094
P000031,KE,KSh,Casual,25-34,M,Mombasa,0.35662149680566224
P000032,KE,KSh,Casual,18-24,M,Kisumu,0.3142203664443728
P000033,KE,KSh,Casual,35-44,F,Kisumu,0.1892179771199786
P000034,KE,KSh,HighRoller,55+,M,Nakuru,0.1371481706196267
P000035,KE,KSh,Casual,25-34,M,Mombasa,0.09298124326431956
P000036,KE,KSh,HighRoller,18-24,M,Kisumu,0.3095069622982046
P000037,KE,KSh,VIP,25-34,M,Mombasa,0.5762255558854926
P000038,KE,KSh,Casual,18-24,M,Kisumu,0.16101316929377477
P000039,KE,KSh,Casual,25-34,M,Kisumu,0.09019819420983481
P000040,KE,KSh,Core,35-44,F,Nairobi,0.3135452642761533
P000041,KE,KSh,Core,18-24,M,Nakuru,0.4617383021161413
P000042,KE,KSh,Core,25-34,M,Kisumu,0.21408217787311953
P000043,KE,KSh,Casual,25-34,M,Mombasa,0.24326669869308074
P000044,KE,KSh,Core,25-34,M,Nakuru,0.6112170516745432
P000045,KE,KSh,Casual,25-34,F,Mombasa,0.15767228290315463
P000046,KE,KSh,Core,18-24,M,Nairobi,0.264717082064415
P000047,KE,KSh,Core,18-24,M,Kisumu,0.3176122082704031
P000048,KE,KSh,Core,18-24,M,Nakuru,0.39084111756180673
P000049,KE,KSh,Casual,35-44,M,Nairobi,0.29439575703449194
P000050,KE,KSh,Core,18-24,M,Kisumu,0.202889830799422
P000051,KE,KSh,Core,25-34,M,Mombasa,0.11494009168958046
P000052,KE,KSh,Core,18-24,M,Nakuru,0.4321677196591841
P000053,KE,KSh,Casual,18-24,F,Mombasa,0.7243280360917131
P000054,KE,KSh,Core,45-54,M,Nairobi,0.6065495077118124
P000055,KE,KSh,Core,35-44,M,Nairobi,0.2910540098069035
P000056,KE,KSh,Casual,35-44,M,Mombasa,0.2921268828556596
P000057,KE,KSh,HighRoller,25-34,M,Kisumu,0.13207586236153876
P000058,KE,KSh,Casual,25-34,M,Kisumu,0.1947679555019598
P000059,KE,KSh,Core,25-34,F,Nairobi,0.21959654915108484
P000060,KE,KSh,Core,35-44,M,Kisumu,0.13261517105995774
P000061,KE,KSh,Core,25-34,M,Nairobi,0.1884570130177245
P000062,KE,KSh,Core,18-24,M,Nairobi,0.4842245881025173
P000063,KE,KSh,Core,25-34,M,Nairobi,0.10784427243745985
P000064,KE,KSh,Core,25-34,M,Nairobi,0.48499245685497466
P000065,KE,KSh,Casual,35-44,M,Nakuru,0.22352529358811585
P000066,KE,KSh,Core,25-34,F,Mombasa,0.18312452334275933
P000067,KE,KSh,HighRoller,18-24,M,Nakuru,0.26280734716015003
P000068,KE,KSh,Casual,25-34,M,Mombasa,0.32330126611295606
P000069,KE,KSh,Casual,18-24,M,Nakuru,0.1545109614993215
P000070,KE,KSh,Core,25-34,M,Nairobi,0.2949972197372795
P000071,KE,KSh,Core,55+,M,Nairobi,0.32175480321492855
P000072,KE,KSh,Casual,35-44,M,Nairobi,0.09605863882514826
P000073,KE,KSh,Casual,25-34,M,Kisumu,0.2599813427912092
P000074,KE,KSh,Core,35-44,M,Nakuru,0.20776273959146557
P000075,KE,KSh,Core,35-44,M,Nakuru,0.560169927189354
P000076,KE,KSh,HighRoller,25-34,M,Kisumu,0.31314052386448255
P000077,KE,KSh,Casual,35-44,F,Nairobi,0.39313555103857556
P000078,KE,KSh,HighRoller,18-24,F,Nakuru,0.11555410463282433
P000079,KE,KSh,Casual,25-34,M,Mombasa,0.41721241703078565
P000080,KE,KSh,Core,25-34,F,Kisumu,0.16024629524468234
P000081,KE,KSh,Core,35-44,M,Mombasa,0.17160309481655794
P000082,KE,KSh,Casual,18-24,F,Nakuru,0.18077614838749884
P000083,KE,KSh,Core,25-34,M,Mombasa,0.2355142993132356
P000084,KE,KSh,Core,45-54,M,Mombasa,0.29095750153457406
P000085,KE,KSh,Casual,35-44,F,Mombasa,0.4217393017561129
P000086,KE,KSh,Casual,25-34,M,Kisumu,0.37696528527207396
P000087,KE,KSh,Core,25-34,M,Mombasa,0.5621986515553342
P000088,KE,KSh,Casual,25-34,M,Nairobi,0.3137597405950811
P000089,KE,KSh,VIP,18-24,M,Nakuru,0.2295262427551809
P000090,KE,KSh,Core,45-54,M,Nakuru,0.1907086550066185
P000091,KE,KSh,Casual,25-34,F,Mombasa,0.2554164289866639
P000092,KE,KSh,Core,18-24,M,Nairobi,0.29904230138636523
P000093,KE,KSh,HighRoller,18-24,F,Nakuru,0.2984298291563275
P000094,KE,KSh,HighRoller,35-44,M,Nakuru,0.03910274815708634
P000095,KE,KSh,Casual,25-34,F,Nairobi,0.17943794074478978
P000096,KE,KSh,HighRoller,18-24,M,Kisumu,0.23533765264112216
P000097,KE,KSh,Core,35-44,M,Nakuru,0.16114931000437388
P000098,KE,KSh,Casual,25-34,M,Mombasa,0.06274637137091484
P000099,KE,KSh,HighRoller,35-44,F,Mombasa,0.40055769006480685
P000100,KE,KSh,Casual,35-44,M,Kisumu,0.3524669837860679
P000101,KE,KSh,Casual,35-44,M,Mombasa,0.15466871701227813
P000102,KE,KSh,Casual,25-34,F,Kisumu,0.2763103780137889
P000103,KE,KSh,Core,18-24,M,Nairobi,0.5335190729670948
P000104,KE,KSh,Casual,35-44,F,Mombasa,0.4045186593729102
P000105,KE,KSh,Casual,18-24,M,Nairobi,0.02387887317116375
P000106,KE,KSh,Core,55+,M,Kisumu,0.20234501756437262
P000107,KE,KSh,Core,35-44,F,Mombasa,0.3247093698784139
P000108,KE,KSh,Core,25-34,M,Nairobi,0.17628968359317268
P000109,KE,KSh,Core,35-44,F,Kisumu,0.38226269092922044
P000110,KE,KSh,Core,25-34,M,Mombasa,0.05222748015371222
P000111,KE,KSh,HighRoller,45-54,M,Mombasa,0.3322305611884406
P000112,KE,KSh,Core,45-54,M,Mombasa,0.5117206140858047
P000113,KE,KSh,Casual,45-54,M,Mombasa,0.41777179119102126
P000114,KE,KSh,Casual,35-44,M,Kisumu,0.3095969012011208
P000115,KE,KSh,Casual,35-44,F,Kisumu,0.12608224515436242
P000116,KE,KSh,Core,25-34,M,Nairobi,0.08422338668723311
P000117,KE,KSh,Casual,18-24,M,Nairobi,0.36639381308781843
P000118,KE,KSh,Casual,35-44,F,Nairobi,0.061420714439304545
P000119,KE,KSh,Core,25-34,M,Mombasa,0.5418709331606832
P000120,KE,KSh,VIP,45-54,M,Kisumu,0.6737519726246582
P000121,KE,KSh,HighRoller,25-34,F,Kisumu,0.09775082775214379
P000122,KE,KSh,VIP,18-24,M,Nakuru,0.3550660349909768
P000123,KE,KSh,Core,25-34,M,Mombasa,0.3607475318691483
P000124,KE,KSh,HighRoller,18-24,M,Kisumu,0.19794966113476914
P000125,KE,KSh,Casual,18-24,F,Nairobi,0.10986907519866863
P000126,KE,KSh,Core,45-54,F,Kisumu,0.1285838589398273
P000127,KE,KSh,Core,18-24,M,Kisumu,0.4318552888893658
