player_id,crg_score,action
P005356,15.0,ALLOW
P001898,40.0,DOWNGRADE
P000273,0.0,ALLOW
P007266,15.0,ALLOW
P008774,55.0,DOWNGRADE
P001421,47.5,DOWNGRADE
P006512,62.5,BLOCK
P004736,0.0,ALLOW
P002427,62.5,BLOCK
P007608,40.0,DOWNGRADE
P003777,55.0,DOWNGRADE
P009691,0.0,ALLOW
P004825,55.0,DOWNGRADE
P005060,62.5,BLOCK
P004908,7.5,ALLOW
P003259,47.5,DOWNGRADE
P006594,0.0,ALLOW
P006162,0.0,ALLOW
P005631,40.0,DOWNGRADE
P004625,40.0,DOWNGRADE
P001782,40.0,DOWNGRADE
P002245,22.5,ALLOW
P009802,22.5,ALLOW
P006940,47.5,DOWNGRADE
P005260,0.0,ALLOW
P006953,0.0,ALLOW
P005454,0.0,ALLOW
P007217,0.0,ALLOW
P001525,15.0,ALLOW
P002140,0.0,ALLOW
P004848,0.0,ALLOW
P005648,47.5,DOWNGRADE
P008319,55.0,DOWNGRADE
P001669,47.5,DOWNGRADE
P005084,0.0,ALLOW
P001162,0.0,ALLOW
P001829,15.0,ALLOW
P008377,15.0,ALLOW
P009937,15.0,ALLOW
P002449,0.0,ALLOW
P002158,0.0,ALLOW
P007051,0.0,ALLOW
P007128,55.0,DOWNGRADE
P008661,0.0,ALLOW
P007940,15.0,ALLOW
P009472,62.5,BLOCK
P008370,55.0,DOWNGRADE
P009909,0.0,ALLOW
P001597,22.5,ALLOW
P007689,40.0,DOWNGRADE
P000200,0.0,ALLOW
P009480,55.0,DOWNGRADE
P000817,40.0,DOWNGRADE
P007129,0.0,ALLOW
P007851,55.0,DOWNGRADE
P006374,0.0,ALLOW
P003883,0.0,ALLOW
P006762,62.5,BLOCK
P005475,40.0,DOWNGRADE
P009748,15.0,ALLOW
P008775,20.0,ALLOW
P007863,7.5,ALLOW
P003331,0.0,ALLOW
P007801,22.5,ALLOW
P009844,55.0,DOWNGRADE
P003216,0.0,ALLOW
P002253,40.0,DOWNGRADE
P006396,55.0,DOWNGRADE
P008874,40.0,DOWNGRADE
P001993,0.0,ALLOW
P005095,47.5,DOWNGRADE
P003296,55.0,DOWNGRADE
P005134,0.0,ALLOW
P006516,15.0,ALLOW
P007002,40.0,DOWNGRADE
P007466,55.0,DOWNGRADE
P001743,40.0,DOWNGRADE
P003054,55.0,DOWNGRADE
P007765,0.0,ALLOW
P000568,15.0,ALLOW
P009284,55.0,DOWNGRADE
P004971,0.0,ALLOW
P006155,55.0,DOWNGRADE
P005572,0.0,ALLOW
P009414,55.0,DOWNGRADE
P008232,15.0,ALLOW
P008282,0.0,ALLOW
P005648,47.5,DOWNGRADE
P008134,15.0,ALLOW
P009463,0.0,ALLOW
P001373,7.5,ALLOW
P005084,0.0,ALLOW
P008281,55.0,DOWNGRADE
P003406,15.0,ALLOW
P005026,0.0,ALLOW
P009609,55.0,DOWNGRADE
P009761,40.0,DOWNGRADE
P002380,0.0,ALLOW
P005548,0.0,ALLOW
P009203,15.0,ALLOW
P003575,47.5,DOWNGRADE
P009501,40.0,DOWNGRADE
P007982,15.0,ALLOW
P008946,0.0,ALLOW
P004088,0.0,ALLOW
P007051,0.0,ALLOW
P008131,40.0,DOWNGRADE
P002606,7.5,ALLOW
P005450,55.0,DOWNGRADE
P007885,55.0,DOWNGRADE
P003545,15.0,ALLOW
P006349,55.0,DOWNGRADE
P006715,0.0,ALLOW
P006781,0.0,ALLOW
P004314,7.5,ALLOW
P007190,20.0,ALLOW
P006705,0.0,ALLOW
P002136,15.0,ALLOW
P008677,0.0,ALLOW
P001862,0.0,ALLOW
P004062,55.0,DOWNGRADE
P007851,55.0,DOWNGRADE
P006083,0.0,ALLOW
P003150,0.0,ALLOW
P001776,22.5,ALLOW
P004651,15.0,ALLOW
P002391,55.0,DOWNGRADE
P006271,0.0,ALLOW
P009447,15.0,ALLOW
P004796,0.0,ALLOW
P009527,40.0,DOWNGRADE
P003161,55.0,DOWNGRADE
P009161,0.0,ALLOW
P009496,55.0,DOWNGRADE
P005751,15.0,ALLOW
P000504,55.0,DOWNGRADE
P007080,62.5,BLOCK
P009714,40.0,DOWNGRADE
P003938,22.5,ALLOW
P008117,40.0,DOWNGRADE
P006196,0.0,ALLOW
P007008,0.0,ALLOW
P009787,0.0,ALLOW
P006536,0.0,ALLOW
P006486,22.5,ALLOW
P008980,40.0,DOWNGRADE
P000898,15.0,ALLOW
P001865,15.0,ALLOW
P008570,0.0,ALLOW
P009404,70.0,BLOCK
P004949,0.0,ALLOW
P002217,0.0,ALLOW
P004737,0.0,ALLOW
P008558,55.0,DOWNGRADE
P006256,40.0,DOWNGRADE
P004022,0.0,ALLOW
P001350,0.0,ALLOW
P009371,40.0,DOWNGRADE
P006406,30.0,ALLOW
P006740,0.0,ALLOW
P007270,0.0,ALLOW
P005045,7.5,ALLOW
P000388,0.0,ALLOW
P004567,40.0,DOWNGRADE
P005968,0.0,ALLOW
P001072,0.0,ALLOW
P003685,0.0,ALLOW
P004365,55.0,DOWNGRADE
P003166,55.0,DOWNGRADE
P009594,55.0,DOWNGRADE
P009529,0.0,ALLOW
P001323,62.5,BLOCK
P001182,22.5,ALLOW
P008365,0.0,ALLOW
P007001,0.0,ALLOW
P007323,0.0,ALLOW
P003742,15.0,ALLOW
P005771,55.0,DOWNGRADE
P004439,15.0,ALLOW
P002517,15.0,ALLOW
P003175,62.5,BLOCK
P004085,55.0,DOWNGRADE
P006407,7.5,ALLOW
P004313,40.0,DOWNGRADE
P003887,0.0,ALLOW
P008400,0.0,ALLOW
P008401,0.0,ALLOW
P005943,0.0,ALLOW
P006979,55.0,DOWNGRADE
P002263,0.0,ALLOW
P004848,0.0,ALLOW
P007319,55.0,DOWNGRADE
P001628,40.0,DOWNGRADE
P006897,62.5,BLOCK
P007958,62.5,BLOCK
P006551,47.5,DOWNGRADE
P002668,47.5,DOWNGRADE
P005012,0.0,ALLOW
P008225,0.0,ALLOW
P008167,40.0,DOWNGRADE
P008817,40.0,DOWNGRADE
P009844,55.0,DOWNGRADE
P002772,55.0,DOWNGRADE
P001909,55.0,DOWNGRADE
P000251,15.0,ALLOW
P003124,40.0,DOWNGRADE
P002904,0.0,ALLOW
P004915,55.0,DOWNGRADE
P002803,40.0,DOWNGRADE
P000612,0.0,ALLOW
P004920,62.5,BLOCK
P003971,0.0,ALLOW
P001326,0.0,ALLOW
P002735,15.0,ALLOW
P007862,40.0,DOWNGRADE
P004347,47.5,DOWNGRADE
P005475,40.0,DOWNGRADE
P008677,0.0,ALLOW
P002973,0.0,ALLOW
P001854,40.0,DOWNGRADE
P001629,40.0,DOWNGRADE
P005397,15.0,ALLOW
P001628,40.0,DOWNGRADE
P000898,15.0,ALLOW
P005141,47.5,DOWNGRADE
P009389,0.0,ALLOW
P005228,0.0,ALLOW
P008695,0.0,ALLOW
P004647,15.0,ALLOW
P000485,40.0,DOWNGRADE
P005308,0.0,ALLOW
P002164,7.5,ALLOW
P003994,55.0,DOWNGRADE
P004883,0.0,ALLOW
P009581,47.5,DOWNGRADE
P005031,62.5,BLOCK
P003925,40.0,DOWNGRADE
P007314,15.0,ALLOW
P002035,15.0,ALLOW
P002341,15.0,ALLOW
P003466,0.0,ALLOW
P009526,0.0,ALLOW
P005728,55.0,DOWNGRADE
P009724,62.5,BLOCK
P009092,62.5,BLOCK
P006396,55.0,DOWNGRADE
P008386,7.5,ALLOW
P009931,0.0,ALLOW
P001444,15.0,ALLOW
P001906,0.0,ALLOW
P000604,15.0,ALLOW
P000001,40.0,DOWNGRADE
P000604,15.0,ALLOW
P000155,0.0,ALLOW
P005748,0.0,ALLOW
P008869,0.0,ALLOW
P003674,0.0,ALLOW
P002503,0.0,ALLOW
P007917,55.0,DOWNGRADE
P004567,40.0,DOWNGRADE
P007629,55.0,DOWNGRADE
P002691,40.0,DOWNGRADE
P001681,55.0,DOWNGRADE
P005871,0.0,ALLOW
P008401,0.0,ALLOW
P001399,15.0,ALLOW
P004003,0.0,ALLOW
P002803,40.0,DOWNGRADE
P005152,0.0,ALLOW
P002600,15.0,ALLOW
P000764,0.0,ALLOW
P001715,0.0,ALLOW
P007376,7.5,ALLOW
P008307,0.0,ALLOW
P003828,15.0,ALLOW
P000593,55.0,DOWNGRADE
P004441,55.0,DOWNGRADE
P008449,0.0,ALLOW
P009228,0.0,ALLOW
P001159,55.0,DOWNGRADE
P004647,15.0,ALLOW
P006507,40.0,DOWNGRADE
P008542,0.0,ALLOW
P001725,7.5,ALLOW
P002504,40.0,DOWNGRADE
P007024,15.0,ALLOW
P003427,7.5,ALLOW
P006736,0.0,ALLOW
P004088,0.0,ALLOW
P004949,0.0,ALLOW
P003294,0.0,ALLOW
P000318,0.0,ALLOW
P008224,15.0,ALLOW
P009203,15.0,ALLOW
P005881,40.0,DOWNGRADE
P004025,55.0,DOWNGRADE
P002211,15.0,ALLOW
P001495,0.0,ALLOW
P007756,7.5,ALLOW
P003667,0.0,ALLOW
P004567,40.0,DOWNGRADE
P001159,55.0,DOWNGRADE
P002736,0.0,ALLOW
P007119,55.0,DOWNGRADE
P003565,55.0,DOWNGRADE
P007400,55.0,DOWNGRADE
P007910,55.0,DOWNGRADE
P007874,55.0,DOWNGRADE
P000877,40.0,DOWNGRADE
P005604,0.0,ALLOW
P009852,47.5,DOWNGRADE
P008863,40.0,DOWNGRADE
P003362,0.0,ALLOW
P009273,15.0,ALLOW
P002691,40.0,DOWNGRADE
P000535,0.0,ALLOW
P002676,0.0,ALLOW
P004088,0.0,ALLOW
P008416,40.0,DOWNGRADE
P002110,7.5,ALLOW
P000940,55.0,DOWNGRADE
P002526,15.0,ALLOW
P003698,40.0,DOWNGRADE
P000623,40.0,DOWNGRADE
P008514,0.0,ALLOW
P000686,7.5,ALLOW
P007885,55.0,DOWNGRADE
P001182,22.5,ALLOW
P005259,0.0,ALLOW
P003054,55.0,DOWNGRADE
P004313,40.0,DOWNGRADE
P003521,0.0,ALLOW
P003268,55.0,DOWNGRADE
P002209,55.0,DOWNGRADE
P008751,55.0,DOWNGRADE
P004004,55.0,DOWNGRADE
P004361,40.0,DOWNGRADE
P009637,0.0,ALLOW
P008014,55.0,DOWNGRADE
P008863,40.0,DOWNGRADE
P004825,55.0,DOWNGRADE
P005054,55.0,DOWNGRADE
P005095,47.5,DOWNGRADE
P001136,40.0,DOWNGRADE
P003127,0.0,ALLOW
P000431,0.0,ALLOW
P006010,40.0,DOWNGRADE
P006558,15.0,ALLOW
P002697,40.0,DOWNGRADE
P006613,0.0,ALLOW
P003667,0.0,ALLOW
P000795,15.0,ALLOW
P005994,70.0,BLOCK
P006256,40.0,DOWNGRADE
P001909,55.0,DOWNGRADE
P006522,40.0,DOWNGRADE
P003754,55.0,DOWNGRADE
P000379,7.5,ALLOW
P002258,55.0,DOWNGRADE
P006407,7.5,ALLOW
P002632,0.0,ALLOW
P007832,47.5,DOWNGRADE
P004447,0.0,ALLOW
P006015,40.0,DOWNGRADE
P002939,0.0,ALLOW
P001715,0.0,ALLOW
P003352,0.0,ALLOW
